"school","school_id","distance","hospital","school_latitude","school_longitude","hospital_latitude","hospital_id","hospital_longitude","city_school","city_hospital","id"
"Sacred Heart Girls' College (New Plymouth)","3eccf7a85c117b787f94122a715693b615a6c845",3.40492,"Southern Cross Hospital New Plymouth",-39.0530798,174.1021297,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",454
"Sacred Heart Girls' College (New Plymouth)","3eccf7a85c117b787f94122a715693b615a6c845",4.53006,"Taranaki Base Hospital",-39.0530798,174.1021297,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",455
"Spotswood Primary School","1ec1895c426de93c61091dd13ecdbb014eaf1772",1.13994,"Omahanui Special Care Unit",-39.0732681,174.0340251,-39.0642657,"8f471253e560a1ce576998602ac851e90b4a2aa9",174.0403606,"New Plymouth","New Plymouth",456
"Spotswood Primary School","1ec1895c426de93c61091dd13ecdbb014eaf1772",1.92484,"Taranaki Base Hospital",-39.0732681,174.0340251,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",457
"Spotswood Primary School","1ec1895c426de93c61091dd13ecdbb014eaf1772",3.0286,"Southern Cross Hospital New Plymouth",-39.0732681,174.0340251,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",458
"Mangorei School","61c3ac0d386749703ed4cf558a65aedc51dc5f18",4.0456,"Omahanui Private Hospital",-39.0896929,174.1067312,-39.0544279,"06eac6534bedb6b66e213b697cc3e8947ff4fd9c",174.0949494,"New Plymouth","New Plymouth",459
"Mangorei School","61c3ac0d386749703ed4cf558a65aedc51dc5f18",4.75611,"Taranaki Base Hospital",-39.0896929,174.1067312,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",460
"Highlands Intermediate School","c11b75c53350ac35b9c3876d4e154a9ce5f412a1",2.20976,"Omahanui Private Hospital",-39.0738653,174.0894493,-39.0544279,"06eac6534bedb6b66e213b697cc3e8947ff4fd9c",174.0949494,"New Plymouth","New Plymouth",462
"Highlands Intermediate School","c11b75c53350ac35b9c3876d4e154a9ce5f412a1",2.83123,"Southern Cross Hospital New Plymouth",-39.0738653,174.0894493,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",463
"Highlands Intermediate School","c11b75c53350ac35b9c3876d4e154a9ce5f412a1",2.8751,"Taranaki Base Hospital",-39.0738653,174.0894493,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",464
"New Plymouth Montessori School","08b855e2befc95a5cf7fb731f0ac98696dbec28b",0.766,"Taranaki Base Hospital",-39.0658308,174.0564334,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",465
"New Plymouth Montessori School","08b855e2befc95a5cf7fb731f0ac98696dbec28b",1.01817,"Southern Cross Hospital New Plymouth",-39.0658308,174.0564334,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",466
"New Plymouth Montessori School","08b855e2befc95a5cf7fb731f0ac98696dbec28b",1.40186,"Omahanui Special Care Unit",-39.0658308,174.0564334,-39.0642657,"8f471253e560a1ce576998602ac851e90b4a2aa9",174.0403606,"New Plymouth","New Plymouth",467
"Devon Intermediate","e177f1adef1ad180fd7a1a7cd144471c0821fe0b",1.0237,"Southern Cross Hospital New Plymouth",-39.0624597,174.0527539,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",468
"Devon Intermediate","e177f1adef1ad180fd7a1a7cd144471c0821fe0b",1.09121,"Omahanui Special Care Unit",-39.0624597,174.0527539,-39.0642657,"8f471253e560a1ce576998602ac851e90b4a2aa9",174.0403606,"New Plymouth","New Plymouth",469
"Devon Intermediate","e177f1adef1ad180fd7a1a7cd144471c0821fe0b",1.17973,"Taranaki Base Hospital",-39.0624597,174.0527539,-39.0727293,"0e01c7861c75259f66134cc28f0c1117c0660011",174.0562573,"New Plymouth","New Plymouth",470
"St John Bosco School","e393a960d803d72c5054a5787b20f72cac3705fa",0.70013,"Omahanui Private Hospital",-39.0514972,174.1021112,-39.0544279,"06eac6534bedb6b66e213b697cc3e8947ff4fd9c",174.0949494,"New Plymouth","New Plymouth",471
"St John Bosco School","e393a960d803d72c5054a5787b20f72cac3705fa",3.43846,"Southern Cross Hospital New Plymouth",-39.0514972,174.1021112,-39.0584397,"4f1c7bf6f5bf91af6aaf75cd72fa762280ffaf1c",174.0633983,"New Plymouth","New Plymouth",472
